Prefix,DXCC Entity,ISO2,ISO LOWER,Continent
EA6,Balearen,ES,es,EU
EA8,Kanarische Inseln,IC,ic,AF
EA9,Ceuta & Melilla,EA,ea,AF
EI,Irland,IE,ie,EU
EK,Armenien,AM,am,AS
EL,Liberia,LR,lr,AF
EP,Iran,IR,ir,AS
ER,Moldawien,MD,md,EU
ES,Estland,EE,ee,EU
ET,Äthiopien,ET,et,AF
EU,Belarus,BY,by,EU
EX,Kirgistan,KG,kg,AS
EY,Tadschikistan,TJ,tj,AS
EZ,Turkmenistan,TM,tm,AS
F,Frankreich,FR,fr,EU
FG,Guadeloupe,GP,gp,NA
FH,Mayotte,YT,yt,AF
FJ,St. Barthelemy,BL,bl,NA
FK,Neukaledonien,NC,nc,OC
FM,Martinique,MQ,mq,NA
FO,Französisch-Polynesien,PF,pf,OC
FO/A,Austral-Inseln,PF,pf,OC
FO/M,Marquesas-Inseln,PF,pf,OC
FP,St. Pierre & Miquelon,PM,pm,NA
FR,Réunion,RE,re,AF
FR/G,Glorioso-Inseln,TF,tf,AF
FR/J,Juan de Nova,TF,tf,AF
FR/T,Tromelin,TF,tf,AF
FS,St. Martin,MF,mf,NA
FT,Kerguelen,TF,tf,AN
FT/A,Amsterdam & St. Paul,TF,tf,AF
FT/C,Crozet-Inseln,TF,tf,AF
FW,Wallis & Futuna,WF,wf,OC
FY,Französisch-Guayana,GF,gf,SA
G,England,GB,gb,EU
GD,Isle of Man,IM,im,EU
GI,Nordirland,GB,gb,EU
GJ,Jersey,JE,je,EU
GM,Schottland,GB,gb,EU
GU,Guernsey,GG,gg,EU
GW,Wales,GB,gb,EU
H4,Salomonen,SB,sb,OC
H40,Temotu-Provinz,SB,sb,OC
HA,Ungarn,HU,hu,EU
HB,Schweiz,CH,ch,EU
HB0,Liechtenstein,LI,li,EU
HC,Ecuador,EC,ec,SA
HD8,Galapagos-Inseln,EC,ec,SA
HH,Haiti,HT,ht,NA
HI,Dominikanische Republik,DO,do,NA
HK,Kolumbien,CO,co,SA
HK0,San Andres & Providencia,CO,co,NA
HK0M,Malpelo,CO,co,SA
HL,Südkorea,KR,kr,AS
HP,Panama,PA,pa,NA
HR,Honduras,HN,hn,NA
HS,Thailand,TH,th,AS
HV,Vatikanstadt,VA,va,EU
HZ,Saudi-Arabien,SA,sa,AS
I,Italien,IT,it,EU
IS0,Sardinien,IT,it,EU
JA,Japan,JP,jp,AS
JD1,Ogasawara,JP,jp,AS
JD1M,Minami-Torishima,JP,jp,OC
JT,Mongolei,MN,mn,AS
JW,Svalbard (Spitzbergen),NO,no,EU
JX,Jan Mayen,NO,no,EU
K,USA,US,us,NA
KG4,Guantanamo Bay,US,us,NA
KH0,Marianen-Inseln,MP,mp,OC
KH2,Guam,GU,gu,OC
KH3,Johnston-Atoll,UM,um,OC
KH4,Midway-Inseln,UM,um,OC
KH5,Palmyra & Jarvis,UM,um,OC
KH5K,Kingman Reef,UM,um,OC
KH6,Hawaii,US,us,OC
KH7K,Kure-Insel,UM,um,OC
KH8,Amerikanisch-Samoa,AS,as,OC
KH8/S,Swains Island,AS,as,OC
KH9,Wake-Insel,UM,um,OC
KL7,Alaska,US,us,NA
KP1,Navassa,UM,um,NA
KP2,Jungferninseln (USA),VI,vi,NA
KP3,Navassa Island,UM,um,NA
KP4,Puerto Rico,PR,pr,NA
KP5,Desecheo,PR,pr,NA
LA,Norwegen,NO,no,EU
LU,Argentinien,AR,ar,SA
LX,Luxemburg,LU,lu,EU
LY,Litauen,LT,lt,EU
LZ,Bulgarien,BG,bg,EU
N,USA,US,us,NA
OA,Peru,PE,pe,SA
OE,Österreich,AT,at,EU
OH,Finnland,FI,fi,EU
OH0,Aland-Inseln,AX,ax,EU
OJ0,Market Reef,FI,fi,EU
OK,Tschechische Republik,CZ,cz,EU
OM,Slowakische Republik,SK,sk,EU
ON,Belgien,BE,be,EU
OX,Grönland,GL,gl,NA
OY,Färöer-Inseln,FO,fo,EU
OZ,Dänemark,DK,dk,EU
P2,Papua-Neuguinea,PG,pg,OC
P4,Aruba,AW,aw,NA
P5,Nordkorea,KP,kp,AS
PA,Niederlande,NL,nl,EU
PJ2,Curaçao,CW,cw,NA
PJ4,Bonaire,BQ,bq,NA
PJ5,Saba & St. Eustatius,BQ,bq,NA
PJ7,Sint Maarten,SX,sx,NA
PY,Brasilien,BR,br,SA
PY0F,Fernando de Noronha,BR,br,SA
PY0S,St. Peter & St. Paul Rocks,BR,br,SA
PY0T,Trindade & Martim Vaz,BR,br,SA
PZ,Suriname,SR,sr,SA
S0,Westsahara,EH,eh,AF
S2,Bangladesch,BD,bd,AS
S5,Slowenien,SI,si,EU
S7,Seychellen,SC,sc,AF
S9,São Tomé & Príncipe,ST,st,AF
SM,Schweden,SE,se,EU
SP,Polen,PL,pl,EU
ST,Sudan,SD,sd,AF
SU,Ägypten,EG,eg,AF
SV,Griechenland,GR,gr,EU
SV/A,Athos (Mönchsrepublik),GR,gr,EU
SV5,Dodekanes (Rhodos),GR,gr,EU
SV9,Kreta,GR,gr,EU
T2,Tuvalu,TV,tv,OC
T30,West-Kiribati (Gilbert Is.),KI,ki,OC
T31,Zentral-Kiribati (British Phoenix),KI,ki,OC
T32,Ost-Kiribati (Line Is.),KI,ki,OC
T33,Banaba Island (Ocean Is.),KI,ki,OC
T5,Somalia,SO,so,AF
T7,San Marino,SM,sm,EU
T8,Palau,PW,pw,OC
TA,Türkei,TR,tr,AS
TF,Island,IS,is,EU
TG,Guatemala,GT,gt,NA
TI,Costa Rica,CR,cr,NA
TI9,Cocos-Insel (Costa Rica),CR,cr,NA
TJ,Kamerun,CM,cm,AF
TK,Korsika,FR,fr,EU
TL,Zentralafrik. Republik,CF,cf,AF
TN,Kongo (Republik),CG,cg,AF
TR,Gabun,GA,ga,AF
TT,Tschad,TD,td,AF
TU,Elfenbeinküste,CI,ci,AF
TY,Benin,BJ,bj,AF
TZ,Mali,ML,ml,AF
UA,Russland (Europäischer Teil),RU,ru,EU
UA2,Kaliningrad,RU,ru,EU
UA9,Russland (Asiatischer Teil),RU,ru,AS
UN,Kasachstan,KZ,kz,AS
UR,Ukraine,UA,ua,EU
V2,Antigua & Barbuda,AG,ag,NA
V3,Belize,BZ,bz,NA
V4,St. Kitts & Nevis,KN,kn,NA
V5,Namibia,NA,na,AF
V6,Mikronesien,FM,fm,OC
V7,Marshallinseln,MH,mh,OC
V8,Brunei,BN,bn,AS
VE,Kanada,CA,ca,NA
VK,Australien,AU,au,OC
VK0M,Macquarie-Insel,AU,au,OC
VK0H,Heard-Insel,HM,hm,AF
VK9C,Cocos-Inseln (Keeling),CC,cc,OC
VK9X,Weihnachtsinsel,CX,cx,OC
VK9N,Norfolk-Insel,AU,au,OC
